geometry_id,geometry
88,"LINESTRING (-120.6564086 47.600518, -120.6554382 47.6005137, -120.655291 47.6005132, -120.6552156 47.6005109, -120.6551433 47.6005035, -120.6550711 47.6004853, -120.6550516 47.6004703, -120.6550322 47.6004498, -120.6550169 47.6004221, -120.6550051 47.6003837, -120.6549982 47.6003346, -120.6549944 47.600081, -120.6549943 47.6000753, -120.6549853 47.6000546, -120.6549757 47.600037, -120.6549607 47.6000176, -120.6549298 47.5999964, -120.654899 47.5999843)"
89,"LINESTRING (-120.6564086 47.600518, -120.656414 47.6008622)"
90,"LINESTRING (-120.6578939 47.6005381, -120.6579212 47.6006093, -120.65793 47.6007016, -120.657934 47.6008301, -120.6579369 47.6011718, -120.6579671 47.6019089, -120.6579678 47.6019283, -120.6579711 47.602015, -120.6579731 47.6020698, -120.6579796 47.6022194, -120.658 47.6026932, -120.6580041 47.602828)"
91,"LINESTRING (-120.6578939 47.6005381, -120.6577783 47.6005365, -120.6574704 47.6005323, -120.6564086 47.600518)"
92,"LINESTRING (-120.6578939 47.6005381, -120.6580333 47.6005428, -120.6580606 47.6005437, -120.6587178 47.6005563, -120.6593626 47.6005687)"
93,"LINESTRING (-120.6578939 47.6005381, -120.6578507 47.6004481, -120.6578416 47.6004293, -120.6578476 47.6001002, -120.6578604 47.599656)"
94,"LINESTRING (-120.6593626 47.6005687, -120.6587178 47.6005563, -120.6580606 47.6005437, -120.6580333 47.6005428, -120.6578939 47.6005381)"
95,"LINESTRING (-120.6593626 47.6005687, -120.6594248 47.6005694, -120.6599441 47.6005754, -120.660049 47.6005766, -120.6603209 47.6005797, -120.6604518 47.6005812, -120.6606139 47.6005824)"
96,"LINESTRING (-120.6593626 47.6005687, -120.6593621 47.6004889, -120.6593266 47.6001238, -120.6593057 47.599678)"
97,"LINESTRING (-120.6606139 47.6005824, -120.6604518 47.6005812, -120.6603209 47.6005797, -120.660049 47.6005766, -120.6599441 47.6005754, -120.6594248 47.6005694, -120.6593626 47.6005687)"
98,"LINESTRING (-120.6606139 47.6005824, -120.6610947 47.600589, -120.6613701 47.6005928, -120.6619451 47.6006006)"
99,"LINESTRING (-120.6606139 47.6005824, -120.6606159 47.6005076, -120.6606164 47.600486, -120.6606322 47.6001434, -120.6606324 47.6001364, -120.6606407 47.5997019)"
100,"LINESTRING (-120.6619451 47.6006006, -120.6621074 47.6006038, -120.6631682 47.6006175, -120.6632747 47.6006189)"
101,"LINESTRING (-120.6619451 47.6006006, -120.6613701 47.6005928, -120.6610947 47.600589, -120.6606139 47.6005824)"
102,"LINESTRING (-120.6619451 47.6006006, -120.661949 47.6005249, -120.6619501 47.6005039, -120.6619687 47.6001398, -120.661988 47.5997103)"
103,"LINESTRING (-120.6650329 47.6006472, -120.6650105 47.6006469, -120.6644773 47.6006407, -120.6644248 47.6006401, -120.6641808 47.6006373, -120.6641205 47.6006366, -120.663955 47.6006348, -120.6636545 47.6006314, -120.6634266 47.6006239, -120.6632747 47.6006189)"
104,"LINESTRING (-120.6650329 47.6006472, -120.6652012 47.6006498, -120.6655487 47.600655, -120.6659351 47.6006609, -120.6660483 47.6006626, -120.6661054 47.6006635, -120.666312 47.6006666, -120.6665459 47.6006702, -120.6666702 47.600672, -120.6668343 47.6006748)"
105,"LINESTRING (-120.6650329 47.6006472, -120.6650352 47.6005732, -120.6650858 47.5989357, -120.6650894 47.598818)"
106,"LINESTRING (-120.6668343 47.6006748, -120.6666702 47.600672, -120.6665459 47.6006702, -120.666312 47.6006666, -120.6661054 47.6006635, -120.6660483 47.6006626, -120.6659351 47.6006609, -120.6655487 47.600655, -120.6652012 47.6006498, -120.6650329 47.6006472)"
107,"LINESTRING (-120.6668343 47.6006748, -120.6669865 47.6006765, -120.667623 47.6006835, -120.6682049 47.6006899, -120.668523 47.600699, -120.6685557 47.6006986, -120.6686748 47.6006971)"
108,"LINESTRING (-120.6668343 47.6006748, -120.6668358 47.6006199, -120.6668363 47.6006011, -120.6668792 47.5989361, -120.6668767 47.5988474)"
109,"LINESTRING (-120.6668343 47.6006748, -120.6668313 47.600741, -120.66683 47.6007694, -120.6668052 47.6013032)"
110,"LINESTRING (-120.6686748 47.6006971, -120.6685557 47.6006986, -120.668523 47.600699, -120.6682049 47.6006899, -120.667623 47.6006835, -120.6669865 47.6006765, -120.6668343 47.6006748)"
111,"LINESTRING (-120.6686748 47.6006971, -120.6686868 47.6006253, -120.6687029 47.6002212, -120.6687051 47.6000286, -120.668705 47.5997865)"
112,"LINESTRING (-120.6481794 47.6010878, -120.6482124 47.6010339, -120.648272 47.6009591, -120.6483616 47.6008808, -120.6485818 47.6007638, -120.6491639 47.6004482, -120.6499873 47.6000042, -120.6506172 47.5996581, -120.6508201 47.5995466, -120.6511956 47.5993304, -120.6514992 47.5991502, -120.6516087 47.5990772, -120.6516671 47.5990193, -120.6517026 47.5989841, -120.651772 47.5988925, -120.651812 47.5988396, -120.6518303 47.5988201, -120.6518948 47.5987513)"
